Text,Target
Apni kemon achhen ajke? Ami chinta korchilam apni thik ache ki na. Amar mone hoy apni kichu chinta korchen.,How are you today? I was thinking whether you are okay. I feel like you are a bit worried.
Apni recently kemon feel korchen? Ami chinta korchilam apni stressed thakben ki na. Ami jante chai apni relaxed feel korchen ki na.,How have you been feeling lately? I was thinking whether you are stressed. I want to know if you feel relaxed.
Apni ki ajke kichu emotional feel korchen? Ami chinta korchilam apni lonely feel korben ki na. Ami chesta korbo apnar mood better korte.,Are you feeling emotional today? I was thinking whether you might feel lonely. I will try to improve your mood.
Apni ki recently kono boro decision niyechhen? Ami chinta korchilam apni confident feel korchen ki na. Ami jante chai apni ready feel korchen ki na.,Have you recently made any big decision? I was thinking whether you feel confident. I want to know if you feel ready.
Apni ki recently kichu kichu stress feel korchen? Ami chinta korchilam apni overwhelmed feel korchen ki na. Ami chesta korbo apni better feel koren.,Have you recently felt some stress? I was thinking whether you feel overwhelmed. I will try to help you feel better.
Apni ki ajke kichu happy feel korchen? Ami chinta korchilam apni relaxed thakben ki na. Ami jante chai apni satisfied feel korchen ki na.,Are you feeling happy today? I was thinking whether you feel relaxed. I want to know if you feel satisfied.
Apni recently family sathe kemon kotha bolechhen? Ami chinta korchilam apni comfortable feel korchen ki na. Ami jante chai apni bonding strong ache ki na.,How have you been talking with your family lately? I was thinking whether you feel comfortable. I want to know if your bonding is strong.
Apni ki ajke kichu sad feel korchen? Ami chinta korchilam apni alone feel korchen ki na. Ami chesta korbo apni positive feel koren.,Are you feeling a little sad today? I was thinking whether you feel alone. I will try to make you feel positive.
Apni ki recently kichu proud feel korchen? Ami chinta korchilam apni confident thakben ki na. Ami jante chai apni satisfied feel korchen ki na.,Have you recently felt proud of something? I was thinking whether you feel confident. I want to know if you feel satisfied.
Apni ki recently kichu anxious feel korchen? Ami chinta korchilam apni tense thakben ki na. Ami chesta korbo apni calm feel koren.,Have you recently felt anxious? I was thinking whether you feel tense. I will try to help you feel calm.
Apni ki ajke kichu excited feel korchen? Ami chinta korchilam apni energetic feel korchen ki na. Ami jante chai apni ready to enjoy korchen ki na.,Are you feeling excited today? I was thinking whether you feel energetic. I want to know if you are ready to enjoy.
Apni ki recently kichu frustrated feel korchen? Ami chinta korchilam apni patient thakben ki na. Ami chesta korbo apni better feel koren.,Have you recently felt frustrated? I was thinking whether you can stay patient. I will try to help you feel better.
Apni ki recently kichu thankful feel korchen? Ami chinta korchilam apni content feel korchen ki na. Ami jante chai apni grateful feel korchen ki na.,Have you recently felt thankful? I was thinking whether you feel content. I want to know if you feel grateful.
Apni ki ajke kichu worried feel korchen? Ami chinta korchilam apni nervous thakben ki na. Ami chesta korbo apni relaxed feel koren.,Are you feeling worried today? I was thinking whether you feel nervous. I will try to help you feel relaxed.
Apni ki recently kichu overwhelmed feel korchen? Ami chinta korchilam apni stressed feel korchen ki na. Ami chesta korbo apni calm feel koren.,Have you recently felt overwhelmed? I was thinking whether you feel stressed. I will try to help you feel calm.
Apni ki ajke kichu lonely feel korchen? Ami chinta korchilam apni isolated feel korchen ki na. Ami jante chai apni connected feel korchen ki na.,Are you feeling lonely today? I was thinking whether you feel isolated. I want to know if you feel connected.
Apni ki recently kichu motivated feel korchen? Ami chinta korchilam apni ready feel korchen ki na. Ami jante chai apni energetic feel korchen ki na.,Have you recently felt motivated? I was thinking whether you feel ready. I want to know if you feel energetic.
Apni ki recently kichu relaxed feel korchen? Ami chinta korchilam apni peaceful thakben ki na. Ami chesta korbo apni stress-free feel koren.,Have you recently felt relaxed? I was thinking whether you feel peaceful. I will try to help you feel stress-free.
Apni ki recently kichu guilty feel korchen? Ami chinta korchilam apni uneasy thakben ki na. Ami jante chai apni better feel korchen ki na.,Have you recently felt guilty? I was thinking whether you feel uneasy. I want to know if you feel better.
Apni ki ajke kichu joyful feel korchen? Ami chinta korchilam apni energetic feel korchen ki na. Ami chesta korbo apni enjoy koren.,Are you feeling joyful today? I was thinking whether you feel energetic. I will try to help you enjoy.
